"Service","EC2-Instances($)","DynamoDB($)","Tax($)","EC2-Other($)","Elastic Container Service($)","VPC($)","Relational Database Service($)","Elastic MapReduce($)","Lambda($)","Secrets Manager($)","S3($)","CloudWatch($)","EC2 Container Registry (ECR)($)","Textract($)","Glue($)","Elastic Load Balancing($)","SES($)","Athena($)","Step Functions($)","CloudFront($)","CloudShell($)","API Gateway($)","SNS($)","Key Management Service($)","SQS($)","Service Catalog($)","Cognito($)","DataZone($)","Rekognition($)","CloudWatch Events($)","AppSync($)","Amplify($)","Total costs($)"
"2024-03-16","0","0.5280458883","","1.0845270427","0.5958027724","1.32123195","1.4485737742","","0.0000000385","0.065351128","0.0176677776","0","0.0339174624","","","0.0000030727","0.000043872","","","0","","0","","","0","","","","","","0","","5.0951647788"
"2024-03-17","0","0.5433380853","","1.0843572534","0.595104","1.32","1.4485737742","","0","0.064896128","0.017717239","0","0.0339174624","","","0.000001411","","","","0","","0","","","0","","0","","","","0","","5.1079053533"
"2024-03-18","0","0.5415675303","","1.086346484","0.5955664872","1.3217959945","1.4485737742","","0.0000000113","0.066556128","0.023010995","0","0.0339174624","","","0.0000018251","0","","","0","","0","","","0","","0","","","","0","","5.117336692"
"2024-03-19","0","6.0804020885","","1.0857188679","0.5953543161","1.3206655967","1.4485737742","","7.6166531835","0.065431128","0.0322444106","0","0.0339553137","","","0.00000175","0","","","0","","0","","","0","","0","","","","0","","18.2790004292"
"2024-03-20","0","1.0114305051","","1.0870668543","0.595104","1.32","1.4485737742","","0.6320754723","0.063197956","0.0217836774","0.0322582307","0.034104972","","","0.0000008888","","","","0","","0","","0","0","","0","","","","0","","6.2455963308"
"2024-03-21","0","1.8724454835","","1.0855617413","0.5954183122","1.320606945","1.4485737742","","1.1105755849","0.065136128","0.0230362878","0.0516129024","0.034104972","","","0.0000116216","","","","0","","0","","0","0","","","","","","0","0","7.6070837529"
"2024-03-22","0","0.5723351232","","1.0857211339","0.5963787381","1.3206403548","1.4485737742","","0.3640150664","0.064966128","0.0213938889","0.0516129024","0.034104972","","","0.000008881","0","","","0","","0","","","0","","0","","","","0","","5.5597509629"
"2024-03-23","0","0.5508888859","","1.0843428446","0.5960231237","1.322969445","1.4485737742","","0.0001992669","0.064516128","0.0175843865","0.0516129024","0.034104972","","","0.0000057376","","","","0","","0","","","0","","","","","","0","","5.1708214668"
"2024-03-24","0","0.5507183928","","1.0841598493","0.595746054","1.321925","1.4485737742","","0.0001098333","0.064516128","0.0175525865","0.0516129024","0.034104972","","","0.000000396","","","","0","","","","","0","","","","","","","","5.1690198885"
"2024-03-25","0","0.5508370339","","1.0845182603","0.5957007898","1.320620835","1.4485737742","","0.0029898766","0.064516128","0.0175914163","0.0516129024","0.034104972","","","0.0000015956","0","","","0","","0","","","0","","","","","","","","5.1710675841"
"2024-03-26","0","0.5522782088","","1.0933831605","0.597548969","1.32","1.4485737742","","0.0195701285","0.064731128","0.0180550163","0.0516129024","0.034104972","","","0.000024146","","","","0","","0","","","0","","","","","","0","0","5.1998824057"
"2024-03-27","0","0.5506996034","","1.0846724006","0.5959552151","1.32","1.4485737742","","0.0001439834","0.064516128","0.0176604163","0.0516129024","0.034104972","","","0.0000035605","","","","0","","0","","","0","","","","","","0","0","5.1679429559"
"2024-03-28","0","0.5503199505","","1.0846546833","0.595950085","1.32","1.4485739801","","0.0001241834","0.064516128","0.0175620163","0.0516129024","0.034104972","","","0.0000018457","","","","0","","0","","","0","","","","","","","","5.1674207467"
"2024-03-29","0","0.5499102789","","1.0846667985","0.5959937504","1.322470835","1.4485737742","","0.0001168752","0.064516128","0.0175392163","0.0516129024","0.034104972","","","0.0000070587","","","","0","","0","","","0","","","","","","","","5.1695125896"
"2024-03-30","0","0.5675677605","","1.0886008028","0.5966708573","1.32084722","1.4485737742","","0.0001999751","0.064516128","0.0176667836","0.0516129024","0.034104972","","","0.0000187422","","","","0","","0","","","0","","","","","","","","5.1903799181"
"2024-03-31","0","0.5515625982","","1.0853692707","0.5960769874","1.32","1.4485737742","","0.0001087086","0.064516128","0.0175336163","0.0516129024","0.034104972","","","0.0000151045","","","","0","","","","","0","","","","","","","","5.1694740623"
